node_name,node_type,module
Anaspis_cf._eversi,pollinator,3
Anaspis_proteus,pollinator,10
Anthophora_alluaudi,pollinator,5
Aphthona_wachnitzae,pollinator,2
Araneae_sp._1,pollinator,6
Asteia_caesia,pollinator,2
Attagenus_abbreviatus,pollinator,3
Attalus_chrysanthemi,pollinator,3
Attalus_olivensis,pollinator,2
Aulacoderus_canariensis,pollinator,2
Blaesoxipha_sp._1,pollinator,6
Campiglossa_martii,pollinator,3
Camponotus_cfr._feae,pollinator,18
Camponotus_feae,pollinator,1
Cecidomyiidae_sp.,pollinator,2
Cephalodromia_sp.,pollinator,3
Chalicodoma_sicula,pollinator,3
Chetogena_acuminata,pollinator,18
Chloropidae_sp._1,pollinator,18
Chloropidae_sp._2,pollinator,29
Chrysomya_albiceps,pollinator,20
Cryptocephalus_nubigena,pollinator,2
Dasytes_lanzarotensis,pollinator,3
Diglyphus_chabrias,pollinator,3
Dischistus_atlanticus,pollinator,5
Euphorbia.balsamifera..f.,plant,6
Euphorbia.balsamifera..m.,plant,2
Eurytoma_sp._1,pollinator,4
Eurytoma_sp._2,pollinator,3
Geometridae_sp._2,pollinator,3
Goniozus_sp.,pollinator,26
Helianthemum.canariensis,plant,4
Kickxia.heterophylla,plant,26
Lasioglossum_loetum,pollinator,16
Launaea.arborescens,plant,3
Leptochilus_fortunatus,pollinator,5
Lotus.lancerottensis,plant,18
Lucilia_sericata,pollinator,3
Lycium.intricatum,plant,5
Milichiidae_sp.,pollinator,2
Musca_osiris,pollinator,6
Nyctia_lugubris,pollinator,2
Oscinimorpha_sp.,pollinator,26
Paragus_tibialis,pollinator,3
Phagnalon.purpurascens,plant,18
Phalacrus_coruscus,pollinator,2
Phyto_nigrobarbata,pollinator,2
Plagiolepis_schmitzii,pollinator,6
Platypalpus_sp._1,pollinator,2
Proconura_sp._2,pollinator,3
Pteromalus_sp._2,pollinator,3
Salvia.aegyptiaca,plant,18
Sapromyza_sp.,pollinator,2
Sarcophagidae_sp._4,pollinator,18
Sarcophagidae_sp._5,pollinator,23
Sarcophagidae_sp._6,pollinator,3
Scaptomyza_sp._2,pollinator,2
Sciaridae_sp.,pollinator,3
Tachyagetes_aemulans,pollinator,2
Tethinidae_sp._3,pollinator,2
Tetramesa_sp.,pollinator,18
Thysanoptera_sp._1,pollinator,2
Thysanoptera_sp._2,pollinator,4
Thysanoptera_sp._4,pollinator,5
Urelliosoma_guimari,pollinator,11
Agromyzidae_sp._1,pollinator,13
Alliophleps_elliptica,pollinator,3
Amegilla_quadrifasciata,pollinator,5
Andrena_vulcana,pollinator,13
Andrena_wollastoni,pollinator,2
Anthophora_orotavae,pollinator,5
Apis_mellifera,pollinator,14
Atherigona_varia,pollinator,1
Attagenus_wollastoni,pollinator,3
Attalus_obscurus,pollinator,3
Bombylius_pintuarius,pollinator,13
Coccinella_miranda,pollinator,1
Colletes_dimidiatus,pollinator,14
Curculionidae_sp.,pollinator,1
Dinarmoides_spilopterus,pollinator,3
Eristalinus_taeniops,pollinator,13
Eucera_gracilipes,pollinator,13
Euphorbia.regis.jubae,plant,13
Exhyalanthrax_canarionae,pollinator,13
Fagonia.albiflora,plant,4
Gasteruption_sp.,pollinator,13
Hylaeus_hohmanni,pollinator,13
Kickxia.scoparia,plant,27
Lasioglossum_viride,pollinator,9
Lavendula.minutolii,plant,5
Lotus.spartioides,plant,22
Macroglossum_stellatarum,pollinator,1
Melecta_curvispina,pollinator,13
Musca_domestica,pollinator,1
Oscinella_sp._1,pollinator,13
Osmia_canaria,pollinator,22
Osmia_latreillei,pollinator,3
Phthiria_simonyi,pollinator,14
Pieris_rapae,pollinator,3
Plagiolepis_sp._2,pollinator,1
Plocama.pendula,plant,14
Rubia.fruticosa,plant,1
Scaeva_albomaculata,pollinator,13
Schizogyne.sericea,plant,8
Sepsis_sp.,pollinator,2
Stenoselma_sp.,pollinator,2
Themnothorax_risii,pollinator,27
Thomisus_cf._onustus,pollinator,14
Thysanoptera_sp._3,pollinator,8
Tropinota_squalida,pollinator,3
Agromyzidae?_sp._2,pollinator,1
Amegilla_canifrons,pollinator,5
Ammophila_terminata,pollinator,19
Aprostocetus_occidentalis,pollinator,1
Aprostocetus_sp._2,pollinator,1
Argyranthemum.frutescens,plant,7
Asphaltklee.bituminosa,plant,12
Attalus_pallipes,pollinator,2
Attalus_ruficollis,pollinator,2
Bassus_sp.,pollinator,2
Bracon_sp.,pollinator,2
Ceballosia.fruticosa,plant,17
Ceratogoponidae_sp.,pollinator,1
Ceropegia.dichotoma,plant,7
Ceropegia.fusca,plant,1
Chalicodoma_canescens,pollinator,3
Chironomidae_sp.,pollinator,1
Chloropidae_sp.,pollinator,2
Chloropidae_sp._5,pollinator,4
Chloropidae_sp._6,pollinator,1
Crematogaster_alluaudi,pollinator,2
Cryptocephalus_gounellei,pollinator,2
Dasytes_cf._subaenescens,pollinator,10
Dasytes_subaenescens,pollinator,25
Elasmus_platyedrae,pollinator,7
Eristalinus_aeneus,pollinator,7
Eristalis_tenax,pollinator,7
Estheria_simonyi,pollinator,21
Euderus_sp.,pollinator,8
Eumerus_latitarsis,pollinator,2
Eumerus_nivariae,pollinator,2
Eupelmus_sp.,pollinator,3
Euphorbia.lamarckii,plant,1
Fannia_sp.,pollinator,1
Frankenia.laevis,plant,19
Geometridae_sp.,pollinator,1
Gnaphosidae_sp._1,pollinator,33
Holepyris_sp.,pollinator,7
Hylaeus_ater,pollinator,19
Lavendula.buchii,plant,5
Lavendula.multifida,plant,5
Leptochilus_cruentatus,pollinator,10
Leptochilus_eatoni,pollinator,8
Lotus.sessilifolius,plant,28
Macrocoma_splendens,pollinator,1
Malthinus_mutabilis,pollinator,2
Megachile_canariensis,pollinator,1
Megaselia_sp._2,pollinator,1
Meligethes_canariensis,pollinator,17
Meligethes_cf._canariensis,pollinator,28
Minotetrastichus_sp.,pollinator,2
Monomorium_subopacum,pollinator,19
Mordellistena_cf._canariensis,pollinator,1
Myathropa_florea,pollinator,7
Myopites_nigrescens,pollinator,8
Nauplius.aquaticus,plant,4
Neochamaelea.pulverulenta,plant,1
Neodryophilus_cryptophagoides,pollinator,31
Nomioides_fortunatus,pollinator,28
Oscinella_sp._2,pollinator,2
Oxyopes_cf._kraepelinorum,pollinator,7
Parolinia.intermedia,plant,10
Periploca.laevigata,plant,1
Physiphora_alceae,pollinator,1
Phyto_discrepans,pollinator,1
Platypalpus_sp.,pollinator,1
Platypalpus_sp._2,pollinator,1
Pteromalus_sp._1,pollinator,7
Pteromalus_sp._3,pollinator,8
Pteromalus_sp._4,pollinator,7
Sarcophagidae_sp._8,pollinator,1
Satureja.kuegleri,plant,33
Scenopinus_sp.,pollinator,7
Sciaridae_sp._1,pollinator,1
Sibinia_sericea,pollinator,2
Sphaeniscus_filiolus,pollinator,5
Stomorhina_lunata,pollinator,5
Synthesomyia_nudiseta,pollinator,1
Syritta_pipiens,pollinator,10
Tethina_marmorata,pollinator,1
Themnothorax_hesperius,pollinator,19
Thysanoptera_sp._7,pollinator,7
Torymoides_lindbergi,pollinator,3
Trixoscelis_sp.,pollinator,7
Anaspis_cf._canariensis,pollinator,2
Araneidae_sp._1,pollinator,1
Araneidae_sp._2,pollinator,1
Attalus_rugifrons,pollinator,7
Bruchidius_wollastoni,pollinator,7
Campiglossa_reticulata,pollinator,7
Chloropidae_sp._4,pollinator,2
Empididae_sp._1,pollinator,2
Eupelmus_testaceiventris,pollinator,1
Exetastes_segmentarius,pollinator,1
Halictus_fulvipes,pollinator,3
Megaselia_sp._1,pollinator,1
Oxyopes_kraepelinorum,pollinator,2
Paratrechina_longicornis,pollinator,1
Phagnalon.saxatile,plant,8
Scymnus_canariensis,pollinator,1
Tachina_canariensis,pollinator,7
Thomisus_cf._globosum,pollinator,7
Thyridanthrax_indigenus,pollinator,2
Trupanea_augur,pollinator,8
Attalus_crispus,pollinator,1
Cecydomyiidae_sp.,pollinator,2
Ceratogoponidae_sp._2,pollinator,1
Chironomidae_sp._1,pollinator,1
Chloropidae_sp._3,pollinator,2
Colias_croceus,pollinator,12
Cryptocephalus_nitidicollis,pollinator,2
Delia_flavibasis,pollinator,1
Dilophus_hiemalis,pollinator,1
Empis_sp._1,pollinator,1
Lasioglossum_arctifrons,pollinator,15
Linnaemyia_soror,pollinator,1
Lotus.glaucus,plant,15
Mycetophilidae_sp._1,pollinator,1
Perilampus_sp._1,pollinator,17
Perilampus_sp._2,pollinator,1
Rondania_insularis,pollinator,2
Sarcophagidae_sp._3,pollinator,2
Spathulina_sicula,pollinator,8
Thaumatomyia_notata,pollinator,1
Villa_nigriceps,pollinator,12
